               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 117,            0.038137,            0.031166,                   0,             0.86707,             0.62991,              0.7336,              0.4629,            0.038129,            0.030044,                   0,           0.0070686,           0.0070686,           0.0070686
                 118,            0.037911,             0.03098,                   0,             0.86796,             0.62925,             0.73384,             0.46299,            0.038118,            0.030037,                   0,           0.0070243,           0.0070243,           0.0070243
                 119,            0.037896,            0.030836,                   0,             0.86984,             0.62784,             0.73372,             0.46306,            0.038105,            0.030033,                   0,           0.0069799,           0.0069799,           0.0069799
                 120,            0.037878,            0.031334,                   0,             0.86927,               0.628,             0.73398,             0.46336,            0.038092,            0.030032,                   0,           0.0069353,           0.0069353,           0.0069353
                 121,            0.038013,            0.031511,                   0,             0.86514,             0.62966,             0.73432,             0.46358,            0.038081,            0.030026,                   0,           0.0068906,           0.0068906,           0.0068906
                 122,            0.037923,            0.031295,                   0,             0.86636,             0.62916,             0.73455,             0.46344,             0.03807,            0.030016,                   0,           0.0068457,           0.0068457,           0.0068457
                 123,            0.037716,             0.03073,                   0,             0.86448,             0.63033,             0.73469,             0.46363,            0.038058,             0.03001,                   0,           0.0068006,           0.0068006,           0.0068006
                 124,            0.037936,            0.031167,                   0,             0.86154,             0.63199,             0.73504,             0.46377,            0.038045,            0.030008,                   0,           0.0067555,           0.0067555,           0.0067555
                 125,            0.037738,            0.031034,                   0,             0.86514,             0.63116,             0.73514,             0.46371,            0.038035,            0.030006,                   0,           0.0067101,           0.0067101,           0.0067101
                 126,            0.037765,            0.031193,                   0,             0.87054,             0.62745,             0.73491,             0.46375,            0.038025,            0.030004,                   0,           0.0066647,           0.0066647,           0.0066647
                 127,            0.037579,            0.031035,                   0,             0.86394,             0.63108,             0.73481,             0.46377,            0.038014,            0.029992,                   0,           0.0066191,           0.0066191,           0.0066191
                 128,             0.03784,            0.031203,                   0,             0.86571,             0.63049,              0.7351,             0.46397,            0.038003,            0.029992,                   0,           0.0065734,           0.0065734,           0.0065734
                 129,            0.037646,            0.030886,                   0,             0.87197,               0.628,             0.73504,             0.46418,            0.037993,            0.029991,                   0,           0.0065276,           0.0065276,           0.0065276
                 130,            0.037635,            0.030707,                   0,             0.86711,             0.63108,             0.73518,              0.4643,            0.037984,            0.029985,                   0,           0.0064816,           0.0064816,           0.0064816
                 131,            0.037555,            0.030983,                   0,             0.87175,             0.62921,             0.73568,             0.46456,            0.037974,            0.029977,                   0,           0.0064356,           0.0064356,           0.0064356
                 132,            0.037476,            0.030983,                   0,             0.87024,             0.62969,              0.7357,             0.46474,            0.037964,            0.029967,                   0,           0.0063895,           0.0063895,           0.0063895
                 133,            0.037459,            0.030755,                   0,             0.86714,             0.63182,             0.73573,             0.46519,            0.037953,            0.029966,                   0,           0.0063432,           0.0063432,           0.0063432
                 134,            0.037381,            0.030892,                   0,             0.87029,             0.63055,             0.73629,             0.46521,            0.037943,            0.029966,                   0,           0.0062969,           0.0062969,           0.0062969
                 135,             0.03743,            0.031014,                   0,             0.88033,             0.62568,             0.73599,             0.46543,            0.037932,            0.029954,                   0,           0.0062505,           0.0062505,           0.0062505
                 136,            0.037386,            0.030688,                   0,             0.88063,             0.62559,             0.73624,             0.46565,            0.037923,            0.029952,                   0,            0.006204,            0.006204,            0.006204
                 137,            0.037332,            0.030568,                   0,             0.87874,             0.62601,             0.73609,             0.46552,            0.037913,            0.029949,                   0,           0.0061574,           0.0061574,           0.0061574
                 138,            0.037249,            0.030795,                   0,              0.8779,             0.62667,             0.73641,             0.46572,            0.037903,            0.029942,                   0,           0.0061107,           0.0061107,           0.0061107
                 139,            0.037381,             0.03076,                   0,             0.87372,             0.62925,             0.73685,             0.46597,            0.037895,            0.029942,                   0,            0.006064,            0.006064,            0.006064
                 140,            0.037353,            0.030669,                   0,             0.87812,             0.62676,             0.73675,             0.46598,            0.037885,            0.029934,                   0,           0.0060172,           0.0060172,           0.0060172
                 141,            0.037284,            0.030314,                   0,             0.87266,             0.62941,             0.73685,             0.46621,            0.037877,            0.029933,                   0,           0.0059704,           0.0059704,           0.0059704
                 142,            0.037062,             0.03004,                   0,             0.87822,             0.62642,             0.73697,             0.46627,            0.037868,            0.029934,                   0,           0.0059235,           0.0059235,           0.0059235
                 143,            0.037119,            0.030476,                   0,             0.87062,                0.63,             0.73708,             0.46629,             0.03786,            0.029932,                   0,           0.0058766,           0.0058766,           0.0058766
                 144,            0.037161,            0.030269,                   0,             0.87173,             0.63019,             0.73732,             0.46649,            0.037852,            0.029926,                   0,           0.0058296,           0.0058296,           0.0058296
                 145,            0.037232,            0.030613,                   0,             0.87309,             0.62975,             0.73718,             0.46662,            0.037844,             0.02993,                   0,           0.0057826,           0.0057826,           0.0057826
                 146,            0.037276,            0.030687,                   0,             0.87322,             0.62991,             0.73704,             0.46686,            0.037837,            0.029921,                   0,           0.0057355,           0.0057355,           0.0057355
                 147,            0.037084,            0.030535,                   0,             0.87199,             0.63055,             0.73726,             0.46699,            0.037828,             0.02992,                   0,           0.0056884,           0.0056884,           0.0056884
                 148,            0.036993,            0.030687,                   0,             0.87329,             0.62916,             0.73707,              0.4669,             0.03782,            0.029916,                   0,           0.0056413,           0.0056413,           0.0056413
                 149,            0.037012,            0.030595,                   0,             0.87424,             0.62905,             0.73739,             0.46707,            0.037812,            0.029916,                   0,           0.0055942,           0.0055942,           0.0055942
                 150,            0.037097,            0.030303,                   0,             0.87134,             0.63025,             0.73721,             0.46725,            0.037804,            0.029911,                   0,           0.0055471,           0.0055471,           0.0055471
                 151,            0.036887,            0.030009,                   0,             0.87345,             0.62914,             0.73728,             0.46745,            0.037796,            0.029906,                   0,              0.0055,              0.0055,              0.0055
                 152,            0.036922,            0.030466,                   0,             0.87378,             0.62872,             0.73731,             0.46719,             0.03779,            0.029902,                   0,           0.0054529,           0.0054529,           0.0054529
                 153,            0.036874,            0.030248,                   0,             0.87328,              0.6285,              0.7368,             0.46734,            0.037784,            0.029899,                   0,           0.0054058,           0.0054058,           0.0054058
                 154,            0.036685,            0.030205,                   0,             0.86799,             0.63174,             0.73706,             0.46742,            0.037776,            0.029893,                   0,           0.0053587,           0.0053587,           0.0053587
                 155,            0.036901,            0.030226,                   0,             0.87246,             0.62864,             0.73679,             0.46737,            0.037768,            0.029893,                   0,           0.0053116,           0.0053116,           0.0053116
                 156,            0.036755,            0.030089,                   0,             0.87163,             0.62908,             0.73683,              0.4677,            0.037759,            0.029894,                   0,           0.0052645,           0.0052645,           0.0052645
                 157,            0.036645,            0.030013,                   0,             0.87244,             0.62966,              0.7374,             0.46782,            0.037752,            0.029887,                   0,           0.0052174,           0.0052174,           0.0052174
                 158,            0.036565,            0.029922,                   0,             0.87234,             0.62966,             0.73754,             0.46804,            0.037746,            0.029887,                   0,           0.0051704,           0.0051704,           0.0051704
